_id,name,userId,resume,phone,address,skills,appliedJobs,createdAt,followingCompanies,followingApplicants
67565a3613af45a9c7b06fb5,Ahaan,1234023,jkykjxpdrirzfxtkpwfuhkutxhcllpplqtnmauxeenfvdvnmfw,(761) 703-7268,"8575 Highland Ave, San Jose, Massachusetts","['CSS', 'Python', 'HTML', 'React', 'Node.js']",[1234172],2022-07-28,[34043],"[1234135, 1234029, 1234131]"
67565a3613af45a9c7b06fb6,Aayush,1234049,ipklircrqbhrlvvqgiszajmktxdtzhhidbmfjtlxuovdxthife,(923) 330-9208,"7155 Maple St, Los Angeles, Missouri","['React', 'Python', 'Java', 'CSS', 'Django']",[1234016],2024-03-19,[34180],"[1234066, 1234025, 1234168]"
67565a3613af45a9c7b06fb7,Aayush,1234029,oifwlkmlzqdxdihcunxcbrdtmzavyfzmtolznvgthyvkmzoexr,(816) 530-6887,"2909 Highland Ave, San Diego, Washington","['Java', 'Django', 'SQL']","[1234073, 1234062, 1234106]",2024-03-24,[],[]
67565a3613af45a9c7b06fb8,Advik,1234161,fuzpflgwifanhuoqktthewnspujthayjovfostfqimlurezqgm,(497) 702-2149,"1290 Oak St, San Francisco, Nevada",['Django'],"[1234002, 1234158]",2022-07-02,[34048],"[1234165, 1234036]"
67565a3613af45a9c7b06fb9,Ahaan,1234095,dnrrxplhacknfrnteyctqqlgpkegdkxrkxmqbfcaqzhumupnmm,(616) 290-1918,"3356 Maple St, San Diego, New York","['CSS', 'Django', 'HTML', 'SQL', 'C++']","[1234159, 1234073, 1234126]",2022-01-28,"[34053, 34155]","[1234070, 1234045, 1234187]"
67565a3613af45a9c7b06fba,Ahaan,1234116,vfjuokwtgsbhzbvpmpcceaxkocjflimzyaebtpstfwopbkpvwq,(550) 715-6743,"2877 Highland Ave, San Francisco, Arkansas",['Node.js'],[1234051],2023-01-03,[34085],"[1234001, 1234109, 1234064]"
67565a3613af45a9c7b06fbb,Arjun,1234020,ynzohuiclpmobtuvyhzydrxkeqpygmyrqbozstwhscqoiefxgt,(875) 942-6946,"8509 Oak St, San Diego, Alabama","['Java', 'Node.js']","[1234140, 1234077, 1234111]",2023-01-28,[34038],"[1234147, 1234126, 1234097]"
67565a3613af45a9c7b06fbc,Arhaan,1234127,xsnktglxdvvcgpprljsfrtiounormvhvzhllwzdyftcjpzchsa,(592) 389-1324,"6529 Oak St, San Diego, Idaho","['JavaScript', 'SQL']",[1234057],2022-02-07,"[34021, 34099, 34127]","[1234096, 1234066]"
67565a3613af45a9c7b06fbd,Advik,1234191,pdsqkcvqmsamwotsypxrwsljnqwnsrvzeutqprrrgxdsrrzgtb,(176) 632-2277,"8929 Oak St, San Francisco, North Dakota","['Java', 'JavaScript']","[1234120, 1234194, 1234138]",2024-08-09,[34082],"[1234180, 1234178, 1234134]"
67565a3613af45a9c7b06fbe,Aayansh,1234019,kkxqstsqensvuwrclbypjtsguoptmyjacxmddxzyxublslxhzh,(502) 452-6065,"7977 Main St, Los Angeles, New Hampshire","['CSS', 'HTML', 'C++']",[],2023-11-11,[],[]
67565a3613af45a9c7b06fbf,Aarush,1234090,ecbummxbzsbxvrwwipnlfbzmvnvssjgcyekdatptwmmzgpquls,(675) 960-7404,"8225 Main St, San Diego, Kentucky","['Node.js', 'HTML', 'React']",[1234145],2022-11-18,[34150],"[1234087, 1234031, 1234116]"
67565a3613af45a9c7b06fc0,Arnav,1234195,qmazehqebybucxhxzhoosgvjcyiqlegdkxzwxcjzdzgqqgqubf,(992) 481-2379,"6428 Maple St, San Jose, New York","['C++', 'CSS', 'JavaScript', 'Java']",[1234036],2023-08-30,"[34154, 34157]",[1234121]
67565a3613af45a9c7b06fc1,Aarav,1234134,ukxvmweljypgylgqpezdefdareitlmzfyennxjrozmwtmhajhh,(289) 326-4997,"1303 Highland Ave, San Diego, New Mexico","['React', 'Django', 'Java', 'Python']",[],2022-01-07,[],"[1234061, 1234027, 1234168]"
67565a3613af45a9c7b06fc2,Aayansh,1234080,mvnnmawixnrgkkapwmlmxcfawhdjayveieespxusavluxrzlqt,(917) 395-1762,"6090 Highland Ave, San Diego, California",['Django'],"[1234033, 1234051, 1234092]",2022-02-25,[34039],[1234134]
